cases.confirmed,mov.avg.p1.chart,mov.avg.p1,mov.avg.p2,time.series.1,time.series.2
2,1.5714285714285714,2.142857142857143,5.190476190476191,0.38532110091743116,0.4128440366972477
1,1.2857142857142858,2.142857142857143,4.619047619047619,0.21649484536082475,0.4639175257731959
1,0.8571428571428571,2.142857142857143,4.333333333333333,0.23076923076923078,0.4945054945054945
0,0.8571428571428571,1.5714285714285714,3.619047619047619,0,0.43421052631578944
1,0.7142857142857143,1.2857142857142858,3.2857142857142856,0.30434782608695654,0.391304347826087
0,0.5714285714285714,0.8571428571428571,3,0,0.2857142857142857
1,0.42857142857142855,0.8571428571428571,2.761904761904762,0.3620689655172414,0.3103448275862069
1,0.42857142857142855,0.7142857142857143,2.380952380952381,0.42,0.3
0,0.2857142857142857,0.5714285714285714,1.8571428571428572,0,0.30769230769230765
0,0.42857142857142855,0.42857142857142855,1.619047619047619,0,0.2647058823529412
